image_id,question_id,image_type,skill_type,answer_type,difficulty,expected_answer,qwen_model_name,qwen_score,qwen_error_type,qwen_comment,internvl_model_name,internvl_score,internvl_error_type,internvl_comment,score_delta_internvl_minus_qwen,comparison_result,qwen_model_answer,internvl_model_answer
architecture_01,architecture_01_q1,academic_figure,scientific_figure,short_text,medium,包含 NSP 和 Mask LM 两个任务标签。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别 BERT 预训练部分的 NSP 和 Mask LM 两个任务标签。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别 BERT 预训练部分的 NSP 和 Mask LM 两个任务标签。,0,Both correct,"Observation: 图中 BERT 的预训练部分有两个顶部任务标签，分别是 NSP 和 Mask LM。

Reasoning: 根据图中的标注，NSP 和 Mask LM 是预训练阶段的两个主要任务标签。

Final Answer: 图中 BERT 的预训练部分包含 NSP 和 Mask LM 两个顶部任务标签。","Observation:
The image shows the BERT model during pre-training and fine-tuning. The top part of the BERT model in both pre-training and fine-tuning sections has two labels: ""NSP"" and ""Mask LM"".

Reasoning:
- ""NSP"" stands for ""Next Sentence Prediction,"" which is used to predict whether two sentences are adjacent or not.
- ""Mask LM"" stands for ""Masked Language Model,"" which involves randomly masking some tokens in the input and predicting the original tokens.

Final Answer: BERT 的预训练部分包含 ""NSP"" 和 ""Mask LM"" 两个顶部任务标签。"
architecture_02,architecture_02_q1,academic_figure,zero_shot_reasoning,short_text,medium,匹配到 dog，对应输出是“A photo of a dog.”。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别 zero-shot prediction 中图像最终匹配到 dog 类别。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别 zero-shot prediction 中图像最终匹配到 dog 类别。,0,Both correct,"Observation: 在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是 ""dog""。

Reasoning: 根据图中的描述和流程图，当输入一张图片时，首先通过图像编码器提取图像特征 I1, I2, ..., IN。然后将这些特征与文本 T1, T2, ..., TN 进行对比，找出最相似的文本类别。在这个例子中，图像特征最终匹配到了文本类别 ""dog""。

Final Answer: dog","Observation:
在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是“dog”。

Reasoning:
在右侧的 zero-shot prediction 部分，输入的是一张狗的照片。图像特征被传递给文本编码器，文本编码器将图像特征与文本标签（如“dog”）进行匹配。因此，最终匹配到的文本类别是“dog”。

Final Answer: dog"
architecture_03,architecture_03_q1,academic_figure,architecture_understanding,evidence_based_reasoning,medium,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,Qwen/Qwen2.5-VL-3B-Instruct,1,Architecture Misreading,识别到 Patchify，但把 Noised Latent 与 Embed 的关系说得不够准确；timestep 和 label 才是通过 Embed 输入。,OpenGVLab/InternVL3-2B-hf,0,Architecture Misreading,问题询问 Noised Latent 进入 DiT Block 前经过哪一步，expected_answer 为 Patchify，但模型回答 Linear and Reshape，关键步骤判断错误。,-1,Qwen better,"Observation: 图中 Noised Latent 在进入 DiT Block 之前，经过了 Patchify 和 Embed 的处理。

Reasoning: 根据图中的流程图，Noised Latent 首先被 Patchify 处理，然后被 Embed 处理，这两个步骤在 Noised Latent 进入 DiT Block 之前进行。

Final Answer: Noised Latent 在进入 DiT Block 之前经过了 Patchify 和 Embed 的处理。","Observation:
The diagram shows that the Noised Latent is first passed through a ""Linear and Reshape"" step before entering the DiT Block.

Reasoning:
The ""Linear and Reshape"" block is explicitly shown in the left part of the figure, indicating that it processes the Noised Latent tensor before it is fed into the DiT Block.

Final Answer: Linear and Reshape"
architecture_04,architecture_04_q1,academic_figure,architecture_understanding,short_text,medium,额外增加了 Visual Resolution Router（ViR）。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别 InternVL3.5-Flash 额外增加 Visual Resolution Router（ViR）。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别 InternVL3.5-Flash 额外增加 Visual Resolution Router（ViR），中文表达“视觉分辨率路由器”可接受。,0,Both correct,"Observation: The figure shows the overall architecture of InternVL3.5 and its extension, InternVL3.5-Flash. It mentions that InternVL3.5-Flash introduces an additional visual resolution router (ViR) to dynamically select the appropriate compression rate for each image patch.

Reasoning: The text in the figure explicitly states that InternVL3.5-Flash is extended with an additional visual resolution router (ViR), which is used to dynamically select the appropriate compression rate for each image patch.

Final Answer: InternVL3.5-Flash compared to InternVL3.5额外增加了一个用于动态选择压缩率的模块，即视觉分辨率路由器（ViR）。","Observation:
The figure shows that InternVL3.5-Flash is an extension of InternVL3.5 with an additional visual resolution router. This router is used to dynamically select the appropriate compression rate for each image patch.

Reasoning:
The text in the figure explicitly mentions that InternVL3.5-Flash is extended with an additional visual resolution router. This router is used to dynamically adjust the compression rate based on the semantic content of the image, unlike the Dynamic High Resolution which only splits image patches based on image width and height.

Final Answer: 视觉分辨率路由器"
architecture_05,architecture_05_q1,academic_figure,visual_reasoning,evidence_based_reasoning,medium,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确说明 decoder 的目标是利用可见 patch 和 mask token 重建原始图像像素。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确说明 MAE decoder 的目标是重建原始图像像素。,0,Both correct,"Observation: The decoder is introduced after the encoder and processes the full set of encoded patches and mask tokens to reconstruct the original image in pixels.

Reasoning: According to the figure, the decoder is used to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.

Final Answer: The main goal of the decoder is to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.","Observation:
The MAE architecture diagram shows that after the encoder processes the visible patches, mask tokens are introduced. These tokens are then processed by a small decoder, which is discarded after pre-training. The decoder's role is to reconstruct the original image in pixels.

Reasoning:
The decoder's primary function, as depicted in the diagram, is to reconstruct the original image from the encoded patches and mask tokens. This is evident from the flow of the diagram, where the decoder takes the processed patches and mask tokens and attempts to recreate the image.

Final Answer: The decoder's main goal is to reconstruct the original image in pixels."
architecture_06,architecture_06_q1,academic_figure,hallucination_risk,no_answer,hard,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确判断图中没有提供训练数据集名称，没有进行无依据猜测。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确判断图中没有提供训练数据集名称，没有进行无依据猜测。,0,Both correct,"Observation: The image does not provide any information about the training data set name for the Selective State Space Model.

Reasoning: The image shows a diagram of the Selective State Space Model with hardware-aware state expansion, but it does not mention or display any data set names.

Final Answer: 图中无法确定。","Observation:
图中没有给出 Selective State Space Model 的训练数据集名称。

Reasoning:
图中展示了 Selective State Space Model 的结构和工作原理，包括输入 \( x_t \)、输出 \( y_t \)、中间状态 \( h_t \)、参数 \( A \)、\( B \)、\( C \) 等，但没有显示任何关于训练数据集名称的信息。

Final Answer: 图中无法判断。"
architecture_07,architecture_07_q1,academic_figure,multimodal_architecture,short_text,medium,主要包括 images 和 videos，也就是图片和视频。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别视觉编码器处理的多模态输入主要是 images 和 videos。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别视觉编码器处理的多模态输入主要包括图像和视频。,0,Both correct,"Observation: 图中显示了视觉编码器处理的多模态输入包括图片和视频。

Reasoning: 视觉编码器位于图中的上半部分，其左侧标注有“Images and videos here.”，右侧则分别展示了三张图片（Picture 1、Picture 2 和 Picture 3）以及一段视频（Video 1）。这些信息表明视觉编码器主要处理的是图片和视频这两种类型的多模态输入。

Final Answer: 图中视觉编码器处理的多模态输入主要包括图片和视频两类。","Observation:
The figure shows that the Qwen2.5-VL framework integrates a vision encoder and a language model decoder to process multimodal inputs, including images and videos. The visual encoder is designed to handle inputs at their native resolution and supports dynamic FPS sampling. The processed visual data is then fed into the Qwen2.5 LM Decoder.

Reasoning:
The figure explicitly mentions that the visual encoder processes images and videos, indicating that it handles both image and video inputs. The caption also states that the framework supports dynamic FPS sampling, which is relevant to video processing.

Final Answer: 图中视觉编码器处理的多模态输入主要包括图像和视频两类。"
architecture_08,architecture_08_q1,academic_figure,architecture_comparison,short_text,medium,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别 Swin Transformer 展示了 4x、8x、16x 的层次化特征图。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别 Swin Transformer（ours）展示了层次化特征图结构。,0,Both correct,"Observation: 图中有两种结构，分别是(a) Swin Transformer 和 (b) ViT。

Reasoning: 根据图中的描述，(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图，而 (b) ViT 没有展示类似的层次化特征图。

Final Answer: 图中(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图。","Observation:
The figure shows two different architectures: Swin Transformer (ours) and ViT (Vision Transformer). The layers are divided into classification, segmentation detection, and classification.

Reasoning:
- The Swin Transformer (ours) shows a clear 4x, 8x, and 16x scaling in the bottom row of the figure.
- The ViT (Vision Transformer) shows a 16x scaling in the top row of the figure.

Final Answer: Swin Transformer (ours)"
chart_01,chart_01_q1,chart,chart_understanding,short_text,easy,6 月（Jun）最高，降雨量为 180 mm。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别降雨量最高月份为 June，数值为 180 mm。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别降雨量最高月份为 June，数值为 180 mm。,0,Both correct,"Observation: The bar graph shows the average monthly rainfall in Metropolis for 2023.

Reasoning: To determine the month with the highest rainfall, we need to compare the heights of all the bars. The bar representing June is the tallest, indicating that it has the highest rainfall among all months.

Final Answer: The month with the highest rainfall is June, with an average rainfall of 180 mm.","Observation:
Reasoning:
The bar chart shows the average monthly rainfall in Metropolis for the year 2023. The highest bar corresponds to the month of June, with a rainfall value of 180 mm.

Final Answer: June, 180 mm"
chart_02,chart_02_q1,chart,chart_understanding,short_text,easy,7 月（Jul）最高，温度为 32°C。,Qwen/Qwen2.5-VL-3B-Instruct,2,Correct,正确识别平均温度最高月份为 July，温度为 32°C。,OpenGVLab/InternVL3-2B-hf,2,Correct,正确识别平均温度最高月份为 July，温度为 32°C。,0,Both correct,"Observation: The graph shows the average monthly temperature in Metropolis for 2023.

Reasoning: To determine the month with the highest average temperature, we need to identify the point on the line that is furthest to the right and has the highest value on the y-axis. This corresponds to July, where the temperature reaches its peak at approximately 32°C.

Final Answer: The average temperature in Metropolis was highest in July, reaching 32°C.","Observation:
The graph shows the average monthly temperature in Metropolis for the year 2023. The highest temperature is marked at the peak of the line graph, which occurs in July.

Reasoning:
- The graph displays a line that rises and falls over the months.
- The highest point on the line corresponds to the month of July, where the temperature is marked as 32°C.

Final Answer: July, 32°C"
