image_id,question_id,image_type,skill_type,answer_type,difficulty,question,expected_answer,model_name,model_answer,score,error_type,comment
architecture_01,architecture_01_q1,academic_figure,scientific_figure,short_text,medium,图中 BERT 的预训练部分包含哪两个顶部任务标签？,包含 NSP 和 Mask LM 两个任务标签。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: 图中 BERT 的预训练部分有两个顶部任务标签，分别是 NSP 和 Mask LM。

Reasoning: 根据图中的标注，NSP 和 Mask LM 是预训练阶段的两个主要任务标签。

Final Answer: 图中 BERT 的预训练部分包含 NSP 和 Mask LM 两个顶部任务标签。",2,Correct,正确识别 BERT 预训练部分的 NSP 和 Mask LM 两个任务标签。
architecture_02,architecture_02_q1,academic_figure,zero_shot_reasoning,short_text,medium,在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？,匹配到 dog，对应输出是“A photo of a dog.”。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: 在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是 ""dog""。

Reasoning: 根据图中的描述和流程图，当输入一张图片时，首先通过图像编码器提取图像特征 I1, I2, ..., IN。然后将这些特征与文本 T1, T2, ..., TN 进行对比，找出最相似的文本类别。在这个例子中，图像特征最终匹配到了文本类别 ""dog""。

Final Answer: dog",2,Correct,正确识别 zero-shot prediction 中图像最终匹配到 dog 类别。
architecture_03,architecture_03_q1,academic_figure,architecture_understanding,evidence_based_reasoning,medium,图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: 图中 Noised Latent 在进入 DiT Block 之前，经过了 Patchify 和 Embed 的处理。

Reasoning: 根据图中的流程图，Noised Latent 首先被 Patchify 处理，然后被 Embed 处理，这两个步骤在 Noised Latent 进入 DiT Block 之前进行。

Final Answer: Noised Latent 在进入 DiT Block 之前经过了 Patchify 和 Embed 的处理。",1,Architecture Misreading,识别到 Patchify，但把 Noised Latent 与 Embed 的关系说得不够准确；timestep 和 label 才是通过 Embed 输入。
architecture_04,architecture_04_q1,academic_figure,architecture_understanding,short_text,medium,图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？,额外增加了 Visual Resolution Router（ViR）。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The figure shows the overall architecture of InternVL3.5 and its extension, InternVL3.5-Flash. It mentions that InternVL3.5-Flash introduces an additional visual resolution router (ViR) to dynamically select the appropriate compression rate for each image patch.

Reasoning: The text in the figure explicitly states that InternVL3.5-Flash is extended with an additional visual resolution router (ViR), which is used to dynamically select the appropriate compression rate for each image patch.

Final Answer: InternVL3.5-Flash compared to InternVL3.5额外增加了一个用于动态选择压缩率的模块，即视觉分辨率路由器（ViR）。",2,Correct,正确识别 InternVL3.5-Flash 额外增加 Visual Resolution Router（ViR）。
architecture_05,architecture_05_q1,academic_figure,visual_reasoning,evidence_based_reasoning,medium,这张 MAE 架构图中，decoder 的主要目标是什么？,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The decoder is introduced after the encoder and processes the full set of encoded patches and mask tokens to reconstruct the original image in pixels.

Reasoning: According to the figure, the decoder is used to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.

Final Answer: The main goal of the decoder is to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.",2,Correct,正确说明 decoder 的目标是利用可见 patch 和 mask token 重建原始图像像素。
architecture_06,architecture_06_q1,academic_figure,hallucination_risk,no_answer,hard,图中是否给出了 Selective State Space Model 的训练数据集名称？,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The image does not provide any information about the training data set name for the Selective State Space Model.

Reasoning: The image shows a diagram of the Selective State Space Model with hardware-aware state expansion, but it does not mention or display any data set names.

Final Answer: 图中无法确定。",2,Correct,正确判断图中没有提供训练数据集名称，没有进行无依据猜测。
architecture_07,architecture_07_q1,academic_figure,multimodal_architecture,short_text,medium,图中视觉编码器处理的多模态输入主要包括哪两类？,主要包括 images 和 videos，也就是图片和视频。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: 图中显示了视觉编码器处理的多模态输入包括图片和视频。

Reasoning: 视觉编码器位于图中的上半部分，其左侧标注有“Images and videos here.”，右侧则分别展示了三张图片（Picture 1、Picture 2 和 Picture 3）以及一段视频（Video 1）。这些信息表明视觉编码器主要处理的是图片和视频这两种类型的多模态输入。

Final Answer: 图中视觉编码器处理的多模态输入主要包括图片和视频两类。",2,Correct,正确识别视觉编码器处理的多模态输入主要是 images 和 videos。
architecture_08,architecture_08_q1,academic_figure,architecture_comparison,short_text,medium,图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: 图中有两种结构，分别是(a) Swin Transformer 和 (b) ViT。

Reasoning: 根据图中的描述，(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图，而 (b) ViT 没有展示类似的层次化特征图。

Final Answer: 图中(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图。",2,Correct,正确识别 Swin Transformer 展示了 4x、8x、16x 的层次化特征图。
chart_01,chart_01_q1,chart,chart_understanding,short_text,easy,图中降雨量最高的月份是哪一个，数值是多少？,6 月（Jun）最高，降雨量为 180 mm。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The bar graph shows the average monthly rainfall in Metropolis for 2023.

Reasoning: To determine the month with the highest rainfall, we need to compare the heights of all the bars. The bar representing June is the tallest, indicating that it has the highest rainfall among all months.

Final Answer: The month with the highest rainfall is June, with an average rainfall of 180 mm.",2,Correct,正确识别降雨量最高月份为 June，数值为 180 mm。
chart_02,chart_02_q1,chart,chart_understanding,short_text,easy,图中平均温度最高的月份是哪一个，温度是多少？,7 月（Jul）最高，温度为 32°C。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The graph shows the average monthly temperature in Metropolis for 2023.

Reasoning: To determine the month with the highest average temperature, we need to identify the point on the line that is furthest to the right and has the highest value on the y-axis. This corresponds to July, where the temperature reaches its peak at approximately 32°C.

Final Answer: The average temperature in Metropolis was highest in July, reaching 32°C.",2,Correct,正确识别平均温度最高月份为 July，温度为 32°C。
chart_03,chart_03_q1,chart,stacked_chart_understanding,short_text,medium,图中全年总能耗最高的是哪个月份，总量是多少？,8 月（Aug）最高，总能耗为 300 kWh。,Qwen/Qwen2.5-VL-3B-Instruct,"Observation: The graph shows the monthly energy consumption for different sectors (Residential, Commercial, and Industrial) in Metropolis for 2023.

Reasoning: To determine the month with the highest total energy consumption, we need to sum up the energy consumption values for all three sectors for each month. The highest total consumption will be the one with the highest value.

Final Answer: The month with the highest total energy consumption is August, with a total of 300 kvWh.",1,Number Error,月份和总量判断正确，但单位写成 kvWh，存在轻微单位错误。
