image_id,question_id,image_path,image_type,skill_type,difficulty,question,expected_answer,answer_type,source,notes
architecture_01,architecture_01_q1,data/images/architecture/architecture_01.png,academic_figure,scientific_figure,medium,图中 BERT 的预训练部分包含哪两个顶部任务标签？,包含 NSP 和 Mask LM 两个任务标签。,short_text,self_collected,测试模型是否能读取架构图中的关键任务标签。
architecture_02,architecture_02_q1,data/images/architecture/architecture_02.png,academic_figure,zero_shot_reasoning,medium,在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？,匹配到 dog，对应输出是“A photo of a dog.”。,short_text,self_collected,测试对 CLIP 类图文匹配流程的理解。
architecture_03,architecture_03_q1,data/images/architecture/architecture_03.png,academic_figure,architecture_understanding,medium,图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,evidence_based_reasoning,self_collected,测试模型能否根据箭头关系解释模块连接。
architecture_04,architecture_04_q1,data/images/architecture/architecture_04.png,academic_figure,architecture_understanding,medium,图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？,额外增加了 Visual Resolution Router（ViR）。,short_text,self_collected,测试细粒度读取模型架构差异。
architecture_05,architecture_05_q1,data/images/architecture/architecture_05.png,academic_figure,visual_reasoning,medium,这张 MAE 架构图中，decoder 的主要目标是什么？,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,evidence_based_reasoning,self_collected,测试模型是否理解遮挡重建流程。
architecture_06,architecture_06_q1,data/images/architecture/architecture_06.png,academic_figure,hallucination_risk,hard,图中是否给出了 Selective State Space Model 的训练数据集名称？,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,no_answer,self_collected,反幻觉问题，避免模型凭外部知识编造数据集。
architecture_07,architecture_07_q1,data/images/architecture/architecture_07.png,academic_figure,multimodal_architecture,medium,图中视觉编码器处理的多模态输入主要包括哪两类？,主要包括 images 和 videos，也就是图片和视频。,short_text,self_collected,测试模型能否读取 Qwen2.5-VL 架构图中的输入类型。
architecture_08,architecture_08_q1,data/images/architecture/architecture_08.png,academic_figure,architecture_comparison,medium,图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,short_text,self_collected,测试模型能否比较两种视觉 Transformer 结构。
chart_01,chart_01_q1,data/images/chart/chart_01.png,chart,chart_understanding,easy,图中降雨量最高的月份是哪一个，数值是多少？,6 月（Jun）最高，降雨量为 180 mm。,short_text,self_generated,柱状图最大值读取。
chart_02,chart_02_q1,data/images/chart/chart_02.png,chart,chart_understanding,easy,图中平均温度最高的月份是哪一个，温度是多少？,7 月（Jul）最高，温度为 32°C。,short_text,self_generated,折线图峰值读取。
