image_id,question_id,image_path,image_type,skill_type,difficulty,question,expected_answer,answer_type,source,notes,model_name,prompt_mode,prompt,model_answer,inference_time,error_note,whether_answer_is_usable
architecture_01,architecture_01_q1,data/images/architecture/architecture_01.png,academic_figure,scientific_figure,medium,图中 BERT 的预训练部分包含哪两个顶部任务标签？,包含 NSP 和 Mask LM 两个任务标签。,short_text,self_collected,测试模型是否能读取架构图中的关键任务标签。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 BERT 的预训练部分包含哪两个顶部任务标签？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The image shows the BERT model during pre-training and fine-tuning. The top part of the BERT model in both pre-training and fine-tuning sections has two labels: ""NSP"" and ""Mask LM"".

Reasoning:
- ""NSP"" stands for ""Next Sentence Prediction,"" which is used to predict whether two sentences are adjacent or not.
- ""Mask LM"" stands for ""Masked Language Model,"" which involves randomly masking some tokens in the input and predicting the original tokens.

Final Answer: BERT 的预训练部分包含 ""NSP"" 和 ""Mask LM"" 两个顶部任务标签。",4.8823,,True
architecture_02,architecture_02_q1,data/images/architecture/architecture_02.png,academic_figure,zero_shot_reasoning,medium,在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？,匹配到 dog，对应输出是“A photo of a dog.”。,short_text,self_collected,测试对 CLIP 类图文匹配流程的理解。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是“dog”。

Reasoning:
在右侧的 zero-shot prediction 部分，输入的是一张狗的照片。图像特征被传递给文本编码器，文本编码器将图像特征与文本标签（如“dog”）进行匹配。因此，最终匹配到的文本类别是“dog”。

Final Answer: dog",3.2183,,True
architecture_03,architecture_03_q1,data/images/architecture/architecture_03.png,academic_figure,architecture_understanding,medium,图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,evidence_based_reasoning,self_collected,测试模型能否根据箭头关系解释模块连接。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The diagram shows that the Noised Latent is first passed through a ""Linear and Reshape"" step before entering the DiT Block.

Reasoning:
The ""Linear and Reshape"" block is explicitly shown in the left part of the figure, indicating that it processes the Noised Latent tensor before it is fed into the DiT Block.

Final Answer: Linear and Reshape",3.03,,True
architecture_04,architecture_04_q1,data/images/architecture/architecture_04.png,academic_figure,architecture_understanding,medium,图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？,额外增加了 Visual Resolution Router（ViR）。,short_text,self_collected,测试细粒度读取模型架构差异。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The figure shows that InternVL3.5-Flash is an extension of InternVL3.5 with an additional visual resolution router. This router is used to dynamically select the appropriate compression rate for each image patch.

Reasoning:
The text in the figure explicitly mentions that InternVL3.5-Flash is extended with an additional visual resolution router. This router is used to dynamically adjust the compression rate based on the semantic content of the image, unlike the Dynamic High Resolution which only splits image patches based on image width and height.

Final Answer: 视觉分辨率路由器",3.9324,,True
architecture_05,architecture_05_q1,data/images/architecture/architecture_05.png,academic_figure,visual_reasoning,medium,这张 MAE 架构图中，decoder 的主要目标是什么？,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,evidence_based_reasoning,self_collected,测试模型是否理解遮挡重建流程。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：这张 MAE 架构图中，decoder 的主要目标是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The MAE architecture diagram shows that after the encoder processes the visible patches, mask tokens are introduced. These tokens are then processed by a small decoder, which is discarded after pre-training. The decoder's role is to reconstruct the original image in pixels.

Reasoning:
The decoder's primary function, as depicted in the diagram, is to reconstruct the original image from the encoded patches and mask tokens. This is evident from the flow of the diagram, where the decoder takes the processed patches and mask tokens and attempts to recreate the image.

Final Answer: The decoder's main goal is to reconstruct the original image in pixels.",3.5822,,True
architecture_06,architecture_06_q1,data/images/architecture/architecture_06.png,academic_figure,hallucination_risk,hard,图中是否给出了 Selective State Space Model 的训练数据集名称？,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,no_answer,self_collected,反幻觉问题，避免模型凭外部知识编造数据集。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中是否给出了 Selective State Space Model 的训练数据集名称？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
图中没有给出 Selective State Space Model 的训练数据集名称。

Reasoning:
图中展示了 Selective State Space Model 的结构和工作原理，包括输入 \( x_t \)、输出 \( y_t \)、中间状态 \( h_t \)、参数 \( A \)、\( B \)、\( C \) 等，但没有显示任何关于训练数据集名称的信息。

Final Answer: 图中无法判断。",3.3871,,True
architecture_07,architecture_07_q1,data/images/architecture/architecture_07.png,academic_figure,multimodal_architecture,medium,图中视觉编码器处理的多模态输入主要包括哪两类？,主要包括 images 和 videos，也就是图片和视频。,short_text,self_collected,测试模型能否读取 Qwen2.5-VL 架构图中的输入类型。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中视觉编码器处理的多模态输入主要包括哪两类？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The figure shows that the Qwen2.5-VL framework integrates a vision encoder and a language model decoder to process multimodal inputs, including images and videos. The visual encoder is designed to handle inputs at their native resolution and supports dynamic FPS sampling. The processed visual data is then fed into the Qwen2.5 LM Decoder.

Reasoning:
The figure explicitly mentions that the visual encoder processes images and videos, indicating that it handles both image and video inputs. The caption also states that the framework supports dynamic FPS sampling, which is relevant to video processing.

Final Answer: 图中视觉编码器处理的多模态输入主要包括图像和视频两类。",4.655,,True
architecture_08,architecture_08_q1,data/images/architecture/architecture_08.png,academic_figure,architecture_comparison,medium,图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,short_text,self_collected,测试模型能否比较两种视觉 Transformer 结构。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The figure shows two different architectures: Swin Transformer (ours) and ViT (Vision Transformer). The layers are divided into classification, segmentation detection, and classification.

Reasoning:
- The Swin Transformer (ours) shows a clear 4x, 8x, and 16x scaling in the bottom row of the figure.
- The ViT (Vision Transformer) shows a 16x scaling in the top row of the figure.

Final Answer: Swin Transformer (ours)",3.1197,,True
chart_01,chart_01_q1,data/images/chart/chart_01.png,chart,chart_understanding,easy,图中降雨量最高的月份是哪一个，数值是多少？,6 月（Jun）最高，降雨量为 180 mm。,short_text,self_generated,柱状图最大值读取。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中降雨量最高的月份是哪一个，数值是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
Reasoning:
The bar chart shows the average monthly rainfall in Metropolis for the year 2023. The highest bar corresponds to the month of June, with a rainfall value of 180 mm.

Final Answer: June, 180 mm",2.4828,,True
chart_02,chart_02_q1,data/images/chart/chart_02.png,chart,chart_understanding,easy,图中平均温度最高的月份是哪一个，温度是多少？,7 月（Jul）最高，温度为 32°C。,short_text,self_generated,折线图峰值读取。,OpenGVLab/InternVL3-2B-hf,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中平均温度最高的月份是哪一个，温度是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation:
The graph shows the average monthly temperature in Metropolis for the year 2023. The highest temperature is marked at the peak of the line graph, which occurs in July.

Reasoning:
- The graph displays a line that rises and falls over the months.
- The highest point on the line corresponds to the month of July, where the temperature is marked as 32°C.

Final Answer: July, 32°C",3.3535,,True
