image_id,question_id,image_type,skill_type,answer_type,difficulty,question,expected_answer,model_name,model_answer,score,error_type,comment
architecture_01,architecture_01_q1,academic_figure,scientific_figure,short_text,medium,图中 BERT 的预训练部分包含哪两个顶部任务标签？,包含 NSP 和 Mask LM 两个任务标签。,OpenGVLab/InternVL3-2B-hf,"Observation:
The image shows the BERT model during pre-training and fine-tuning. The top part of the BERT model in both pre-training and fine-tuning sections has two labels: ""NSP"" and ""Mask LM"".

Reasoning:
- ""NSP"" stands for ""Next Sentence Prediction,"" which is used to predict whether two sentences are adjacent or not.
- ""Mask LM"" stands for ""Masked Language Model,"" which involves randomly masking some tokens in the input and predicting the original tokens.

Final Answer: BERT 的预训练部分包含 ""NSP"" 和 ""Mask LM"" 两个顶部任务标签。",2,Correct,正确识别 BERT 预训练部分的 NSP 和 Mask LM 两个任务标签。
architecture_02,architecture_02_q1,academic_figure,zero_shot_reasoning,short_text,medium,在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？,匹配到 dog，对应输出是“A photo of a dog.”。,OpenGVLab/InternVL3-2B-hf,"Observation:
在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是“dog”。

Reasoning:
在右侧的 zero-shot prediction 部分，输入的是一张狗的照片。图像特征被传递给文本编码器，文本编码器将图像特征与文本标签（如“dog”）进行匹配。因此，最终匹配到的文本类别是“dog”。

Final Answer: dog",2,Correct,正确识别 zero-shot prediction 中图像最终匹配到 dog 类别。
architecture_03,architecture_03_q1,academic_figure,architecture_understanding,evidence_based_reasoning,medium,图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,OpenGVLab/InternVL3-2B-hf,"Observation:
The diagram shows that the Noised Latent is first passed through a ""Linear and Reshape"" step before entering the DiT Block.

Reasoning:
The ""Linear and Reshape"" block is explicitly shown in the left part of the figure, indicating that it processes the Noised Latent tensor before it is fed into the DiT Block.

Final Answer: Linear and Reshape",0,Architecture Misreading,问题询问 Noised Latent 进入 DiT Block 前经过哪一步，expected_answer 为 Patchify，但模型回答 Linear and Reshape，关键步骤判断错误。
architecture_04,architecture_04_q1,academic_figure,architecture_understanding,short_text,medium,图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？,额外增加了 Visual Resolution Router（ViR）。,OpenGVLab/InternVL3-2B-hf,"Observation:
The figure shows that InternVL3.5-Flash is an extension of InternVL3.5 with an additional visual resolution router. This router is used to dynamically select the appropriate compression rate for each image patch.

Reasoning:
The text in the figure explicitly mentions that InternVL3.5-Flash is extended with an additional visual resolution router. This router is used to dynamically adjust the compression rate based on the semantic content of the image, unlike the Dynamic High Resolution which only splits image patches based on image width and height.

Final Answer: 视觉分辨率路由器",2,Correct,正确识别 InternVL3.5-Flash 额外增加 Visual Resolution Router（ViR），中文表达“视觉分辨率路由器”可接受。
architecture_05,architecture_05_q1,academic_figure,visual_reasoning,evidence_based_reasoning,medium,这张 MAE 架构图中，decoder 的主要目标是什么？,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,OpenGVLab/InternVL3-2B-hf,"Observation:
The MAE architecture diagram shows that after the encoder processes the visible patches, mask tokens are introduced. These tokens are then processed by a small decoder, which is discarded after pre-training. The decoder's role is to reconstruct the original image in pixels.

Reasoning:
The decoder's primary function, as depicted in the diagram, is to reconstruct the original image from the encoded patches and mask tokens. This is evident from the flow of the diagram, where the decoder takes the processed patches and mask tokens and attempts to recreate the image.

Final Answer: The decoder's main goal is to reconstruct the original image in pixels.",2,Correct,正确说明 MAE decoder 的目标是重建原始图像像素。
architecture_06,architecture_06_q1,academic_figure,hallucination_risk,no_answer,hard,图中是否给出了 Selective State Space Model 的训练数据集名称？,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,OpenGVLab/InternVL3-2B-hf,"Observation:
图中没有给出 Selective State Space Model 的训练数据集名称。

Reasoning:
图中展示了 Selective State Space Model 的结构和工作原理，包括输入 \( x_t \)、输出 \( y_t \)、中间状态 \( h_t \)、参数 \( A \)、\( B \)、\( C \) 等，但没有显示任何关于训练数据集名称的信息。

Final Answer: 图中无法判断。",2,Correct,正确判断图中没有提供训练数据集名称，没有进行无依据猜测。
architecture_07,architecture_07_q1,academic_figure,multimodal_architecture,short_text,medium,图中视觉编码器处理的多模态输入主要包括哪两类？,主要包括 images 和 videos，也就是图片和视频。,OpenGVLab/InternVL3-2B-hf,"Observation:
The figure shows that the Qwen2.5-VL framework integrates a vision encoder and a language model decoder to process multimodal inputs, including images and videos. The visual encoder is designed to handle inputs at their native resolution and supports dynamic FPS sampling. The processed visual data is then fed into the Qwen2.5 LM Decoder.

Reasoning:
The figure explicitly mentions that the visual encoder processes images and videos, indicating that it handles both image and video inputs. The caption also states that the framework supports dynamic FPS sampling, which is relevant to video processing.

Final Answer: 图中视觉编码器处理的多模态输入主要包括图像和视频两类。",2,Correct,正确识别视觉编码器处理的多模态输入主要包括图像和视频。
architecture_08,architecture_08_q1,academic_figure,architecture_comparison,short_text,medium,图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,OpenGVLab/InternVL3-2B-hf,"Observation:
The figure shows two different architectures: Swin Transformer (ours) and ViT (Vision Transformer). The layers are divided into classification, segmentation detection, and classification.

Reasoning:
- The Swin Transformer (ours) shows a clear 4x, 8x, and 16x scaling in the bottom row of the figure.
- The ViT (Vision Transformer) shows a 16x scaling in the top row of the figure.

Final Answer: Swin Transformer (ours)",2,Correct,正确识别 Swin Transformer（ours）展示了层次化特征图结构。
chart_01,chart_01_q1,chart,chart_understanding,short_text,easy,图中降雨量最高的月份是哪一个，数值是多少？,6 月（Jun）最高，降雨量为 180 mm。,OpenGVLab/InternVL3-2B-hf,"Observation:
Reasoning:
The bar chart shows the average monthly rainfall in Metropolis for the year 2023. The highest bar corresponds to the month of June, with a rainfall value of 180 mm.

Final Answer: June, 180 mm",2,Correct,正确识别降雨量最高月份为 June，数值为 180 mm。
chart_02,chart_02_q1,chart,chart_understanding,short_text,easy,图中平均温度最高的月份是哪一个，温度是多少？,7 月（Jul）最高，温度为 32°C。,OpenGVLab/InternVL3-2B-hf,"Observation:
The graph shows the average monthly temperature in Metropolis for the year 2023. The highest temperature is marked at the peak of the line graph, which occurs in July.

Reasoning:
- The graph displays a line that rises and falls over the months.
- The highest point on the line corresponds to the month of July, where the temperature is marked as 32°C.

Final Answer: July, 32°C",2,Correct,正确识别平均温度最高月份为 July，温度为 32°C。
