image_id,question_id,image_path,image_type,skill_type,difficulty,question,expected_answer,answer_type,source,notes,model_name,prompt_mode,prompt,model_answer,inference_time,error_note,whether_answer_is_usable
architecture_01,architecture_01_q1,data/images/architecture/architecture_01.png,academic_figure,scientific_figure,medium,图中 BERT 的预训练部分包含哪两个顶部任务标签？,包含 NSP 和 Mask LM 两个任务标签。,short_text,self_collected,测试模型是否能读取架构图中的关键任务标签。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 BERT 的预训练部分包含哪两个顶部任务标签？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中 BERT 的预训练部分有两个顶部任务标签，分别是 NSP 和 Mask LM。

Reasoning: 根据图中的标注，NSP 和 Mask LM 是预训练阶段的两个主要任务标签。

Final Answer: 图中 BERT 的预训练部分包含 NSP 和 Mask LM 两个顶部任务标签。",15.2972,,True
architecture_02,architecture_02_q1,data/images/architecture/architecture_02.png,academic_figure,zero_shot_reasoning,medium,在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？,匹配到 dog，对应输出是“A photo of a dog.”。,short_text,self_collected,测试对 CLIP 类图文匹配流程的理解。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 在右侧 zero-shot prediction 部分，图像特征最终匹配到的文本类别是 ""dog""。

Reasoning: 根据图中的描述和流程图，当输入一张图片时，首先通过图像编码器提取图像特征 I1, I2, ..., IN。然后将这些特征与文本 T1, T2, ..., TN 进行对比，找出最相似的文本类别。在这个例子中，图像特征最终匹配到了文本类别 ""dog""。

Final Answer: dog",22.8148,,True
architecture_03,architecture_03_q1,data/images/architecture/architecture_03.png,academic_figure,architecture_understanding,medium,图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？,Noised Latent 先经过 Patchify 处理；timestep 和 label 也通过 Embed 输入到 DiT Block。,evidence_based_reasoning,self_collected,测试模型能否根据箭头关系解释模块连接。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 Noised Latent 在进入 DiT Block 之前经过了哪一步处理？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中 Noised Latent 在进入 DiT Block 之前，经过了 Patchify 和 Embed 的处理。

Reasoning: 根据图中的流程图，Noised Latent 首先被 Patchify 处理，然后被 Embed 处理，这两个步骤在 Noised Latent 进入 DiT Block 之前进行。

Final Answer: Noised Latent 在进入 DiT Block 之前经过了 Patchify 和 Embed 的处理。",20.8869,,True
architecture_04,architecture_04_q1,data/images/architecture/architecture_04.png,academic_figure,architecture_understanding,medium,图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？,额外增加了 Visual Resolution Router（ViR）。,short_text,self_collected,测试细粒度读取模型架构差异。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中 InternVL3.5-Flash 相比 InternVL3.5 额外增加了哪个用于动态选择压缩率的模块？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The figure shows the overall architecture of InternVL3.5 and its extension, InternVL3.5-Flash. It mentions that InternVL3.5-Flash introduces an additional visual resolution router (ViR) to dynamically select the appropriate compression rate for each image patch.

Reasoning: The text in the figure explicitly states that InternVL3.5-Flash is extended with an additional visual resolution router (ViR), which is used to dynamically select the appropriate compression rate for each image patch.

Final Answer: InternVL3.5-Flash compared to InternVL3.5额外增加了一个用于动态选择压缩率的模块，即视觉分辨率路由器（ViR）。",30.158,,True
architecture_05,architecture_05_q1,data/images/architecture/architecture_05.png,academic_figure,visual_reasoning,medium,这张 MAE 架构图中，decoder 的主要目标是什么？,decoder 使用编码后的可见 patch 和 mask token 来重建原始图像像素，也就是右侧的 target 图像。,evidence_based_reasoning,self_collected,测试模型是否理解遮挡重建流程。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：这张 MAE 架构图中，decoder 的主要目标是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The decoder is introduced after the encoder and processes the full set of encoded patches and mask tokens to reconstruct the original image in pixels.

Reasoning: According to the figure, the decoder is used to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.

Final Answer: The main goal of the decoder is to reconstruct the original image from the encoded patches and mask tokens that were processed by the encoder during pre-training.",18.9581,,True
architecture_06,architecture_06_q1,data/images/architecture/architecture_06.png,academic_figure,hallucination_risk,hard,图中是否给出了 Selective State Space Model 的训练数据集名称？,没有。图中展示的是模型结构和 GPU 存储层级，没有提供训练数据集名称。,no_answer,self_collected,反幻觉问题，避免模型凭外部知识编造数据集。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中是否给出了 Selective State Space Model 的训练数据集名称？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The image does not provide any information about the training data set name for the Selective State Space Model.

Reasoning: The image shows a diagram of the Selective State Space Model with hardware-aware state expansion, but it does not mention or display any data set names.

Final Answer: 图中无法确定。",13.0317,,True
architecture_07,architecture_07_q1,data/images/architecture/architecture_07.png,academic_figure,multimodal_architecture,medium,图中视觉编码器处理的多模态输入主要包括哪两类？,主要包括 images 和 videos，也就是图片和视频。,short_text,self_collected,测试模型能否读取 Qwen2.5-VL 架构图中的输入类型。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中视觉编码器处理的多模态输入主要包括哪两类？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中显示了视觉编码器处理的多模态输入包括图片和视频。

Reasoning: 视觉编码器位于图中的上半部分，其左侧标注有“Images and videos here.”，右侧则分别展示了三张图片（Picture 1、Picture 2 和 Picture 3）以及一段视频（Video 1）。这些信息表明视觉编码器主要处理的是图片和视频这两种类型的多模态输入。

Final Answer: 图中视觉编码器处理的多模态输入主要包括图片和视频两类。",25.1252,,True
architecture_08,architecture_08_q1,data/images/architecture/architecture_08.png,academic_figure,architecture_comparison,medium,图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？,Swin Transformer（ours）展示了 4x、8x、16x 的层次化特征图。,short_text,self_collected,测试模型能否比较两种视觉 Transformer 结构。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中哪一种结构在不同层级展示了 4x、8x、16x 的层次化特征图？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中有两种结构，分别是(a) Swin Transformer 和 (b) ViT。

Reasoning: 根据图中的描述，(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图，而 (b) ViT 没有展示类似的层次化特征图。

Final Answer: 图中(a) Swin Transformer 在不同层级展示了 4x、8x、16x 的层次化特征图。",21.5038,,True
chart_01,chart_01_q1,data/images/chart/chart_01.png,chart,chart_understanding,easy,图中降雨量最高的月份是哪一个，数值是多少？,6 月（Jun）最高，降雨量为 180 mm。,short_text,self_generated,柱状图最大值读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中降雨量最高的月份是哪一个，数值是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The bar graph shows the average monthly rainfall in Metropolis for 2023.

Reasoning: To determine the month with the highest rainfall, we need to compare the heights of all the bars. The bar representing June is the tallest, indicating that it has the highest rainfall among all months.

Final Answer: The month with the highest rainfall is June, with an average rainfall of 180 mm.",17.4479,,True
chart_02,chart_02_q1,data/images/chart/chart_02.png,chart,chart_understanding,easy,图中平均温度最高的月份是哪一个，温度是多少？,7 月（Jul）最高，温度为 32°C。,short_text,self_generated,折线图峰值读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中平均温度最高的月份是哪一个，温度是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The graph shows the average monthly temperature in Metropolis for 2023.

Reasoning: To determine the month with the highest average temperature, we need to identify the point on the line that is furthest to the right and has the highest value on the y-axis. This corresponds to July, where the temperature reaches its peak at approximately 32°C.

Final Answer: The average temperature in Metropolis was highest in July, reaching 32°C.",18.2358,,True
